State,Year,Quarter
goa,2022,2
goa,2022,3
goa,2022,4
goa,2023,1
goa,2023,2
goa,2023,3
goa,2023,4
gujarat,2018,1
gujarat,2018,2
gujarat,2018,3
gujarat,2018,4
gujarat,2019,1
gujarat,2019,2
gujarat,2019,3
gujarat,2019,4
gujarat,2020,1
gujarat,2020,2
gujarat,2020,3
gujarat,2020,4
gujarat,2021,1
gujarat,2021,2
gujarat,2021,3
gujarat,2021,4
gujarat,2022,1
gujarat,2022,2
gujarat,2022,3
gujarat,2022,4
gujarat,2023,1
gujarat,2023,2
gujarat,2023,3
gujarat,2023,4
haryana,2018,1
haryana,2018,2
haryana,2018,3
haryana,2018,4
haryana,2019,1
haryana,2019,2
haryana,2019,3
haryana,2019,4
haryana,2020,1
haryana,2020,2
haryana,2020,3
haryana,2020,4
haryana,2021,1
haryana,2021,2
haryana,2021,3
haryana,2021,4
haryana,2022,1
haryana,2022,2
haryana,2022,3
haryana,2022,4
haryana,2023,1
haryana,2023,2
haryana,2023,3
haryana,2023,4
himachal-pradesh,2018,1
himachal-pradesh,2018,2
himachal-pradesh,2018,3
himachal-pradesh,2018,4
himachal-pradesh,2019,1
himachal-pradesh,2019,2
himachal-pradesh,2019,3
himachal-pradesh,2019,4
himachal-pradesh,2020,1
himachal-pradesh,2020,2
himachal-pradesh,2020,3
himachal-pradesh,2020,4
himachal-pradesh,2021,1
himachal-pradesh,2021,2
himachal-pradesh,2021,3
himachal-pradesh,2021,4
himachal-pradesh,2022,1
himachal-pradesh,2022,2
himachal-pradesh,2022,3
himachal-pradesh,2022,4
himachal-pradesh,2023,1
himachal-pradesh,2023,2
himachal-pradesh,2023,3
himachal-pradesh,2023,4
jammu-&-kashmir,2018,1
jammu-&-kashmir,2018,2
jammu-&-kashmir,2018,3
jammu-&-kashmir,2018,4
jammu-&-kashmir,2019,1
jammu-&-kashmir,2019,2
jammu-&-kashmir,2019,3
jammu-&-kashmir,2019,4
jammu-&-kashmir,2020,1
jammu-&-kashmir,2020,2
jammu-&-kashmir,2020,3
jammu-&-kashmir,2020,4
jammu-&-kashmir,2021,1
jammu-&-kashmir,2021,2
jammu-&-kashmir,2021,3
jammu-&-kashmir,2021,4
jammu-&-kashmir,2022,1
jammu-&-kashmir,2022,2
jammu-&-kashmir,2022,3
jammu-&-kashmir,2022,4
jammu-&-kashmir,2023,1
jammu-&-kashmir,2023,2
jammu-&-kashmir,2023,3
jammu-&-kashmir,2023,4
jharkhand,2018,1
jharkhand,2018,2
jharkhand,2018,3
jharkhand,2018,4
jharkhand,2019,1
jharkhand,2019,2
jharkhand,2019,3
jharkhand,2019,4
jharkhand,2020,1
jharkhand,2020,2
jharkhand,2020,3
jharkhand,2020,4
jharkhand,2021,1
jharkhand,2021,2
jharkhand,2021,3
jharkhand,2021,4
jharkhand,2022,1
jharkhand,2022,2
jharkhand,2022,3
jharkhand,2022,4
jharkhand,2023,1
jharkhand,2023,2
jharkhand,2023,3
jharkhand,2023,4
karnataka,2018,1
karnataka,2018,2
karnataka,2018,3
karnataka,2018,4
karnataka,2019,1
karnataka,2019,2
karnataka,2019,3
karnataka,2019,4
karnataka,2020,1
karnataka,2020,2
karnataka,2020,3
karnataka,2020,4
karnataka,2021,1
karnataka,2021,2
karnataka,2021,3
karnataka,2021,4
karnataka,2022,1
karnataka,2022,2
karnataka,2022,3
karnataka,2022,4
karnataka,2023,1
karnataka,2023,2
karnataka,2023,3
karnataka,2023,4
kerala,2018,1
kerala,2018,2
kerala,2018,3
kerala,2018,4
kerala,2019,1
kerala,2019,2
kerala,2019,3
kerala,2019,4
kerala,2020,1
kerala,2020,2
kerala,2020,3
kerala,2020,4
kerala,2021,1
kerala,2021,2
kerala,2021,3
kerala,2021,4
kerala,2022,1
kerala,2022,2
kerala,2022,3
kerala,2022,4
kerala,2023,1
kerala,2023,2
kerala,2023,3
kerala,2023,4
ladakh,2018,1
ladakh,2018,2
ladakh,2018,3
ladakh,2018,4
ladakh,2019,1
ladakh,2019,2
ladakh,2019,3
ladakh,2019,4
ladakh,2020,1
ladakh,2020,2
ladakh,2020,3
ladakh,2020,4
ladakh,2021,1
ladakh,2021,2
ladakh,2021,3
ladakh,2021,4
ladakh,2022,1
ladakh,2022,2
ladakh,2022,3
ladakh,2022,4
ladakh,2023,1
ladakh,2023,2
ladakh,2023,3
ladakh,2023,4
lakshadweep,2018,1
lakshadweep,2018,2
lakshadweep,2018,3
lakshadweep,2018,4
lakshadweep,2019,1
lakshadweep,2019,2
lakshadweep,2019,3
lakshadweep,2019,4
lakshadweep,2020,1
lakshadweep,2020,2
lakshadweep,2020,3
lakshadweep,2020,4
lakshadweep,2021,1
lakshadweep,2021,2
lakshadweep,2021,3
lakshadweep,2021,4
lakshadweep,2022,1
lakshadweep,2022,2
lakshadweep,2022,3
lakshadweep,2022,4
lakshadweep,2023,1
lakshadweep,2023,2
lakshadweep,2023,3
lakshadweep,2023,4
madhya-pradesh,2018,1
madhya-pradesh,2018,2
madhya-pradesh,2018,3
madhya-pradesh,2018,4
madhya-pradesh,2019,1
madhya-pradesh,2019,2
madhya-pradesh,2019,3
madhya-pradesh,2019,4
madhya-pradesh,2020,1
madhya-pradesh,2020,2
madhya-pradesh,2020,3
madhya-pradesh,2020,4
madhya-pradesh,2021,1
madhya-pradesh,2021,2
madhya-pradesh,2021,3
madhya-pradesh,2021,4
madhya-pradesh,2022,1
madhya-pradesh,2022,2
madhya-pradesh,2022,3
madhya-pradesh,2022,4
madhya-pradesh,2023,1
madhya-pradesh,2023,2
madhya-pradesh,2023,3
madhya-pradesh,2023,4
maharashtra,2018,1
maharashtra,2018,2
maharashtra,2018,3
maharashtra,2018,4
maharashtra,2019,1
maharashtra,2019,2
maharashtra,2019,3
maharashtra,2019,4
maharashtra,2020,1
maharashtra,2020,2
maharashtra,2020,3
maharashtra,2020,4
maharashtra,2021,1
maharashtra,2021,2
maharashtra,2021,3
maharashtra,2021,4
maharashtra,2022,1
maharashtra,2022,2
maharashtra,2022,3
maharashtra,2022,4
maharashtra,2023,1
maharashtra,2023,2
maharashtra,2023,3
maharashtra,2023,4
manipur,2018,1
manipur,2018,2
manipur,2018,3
manipur,2018,4
manipur,2019,1
manipur,2019,2
manipur,2019,3
manipur,2019,4
manipur,2020,1
manipur,2020,2
manipur,2020,3
manipur,2020,4
manipur,2021,1
manipur,2021,2
manipur,2021,3
manipur,2021,4
manipur,2022,1
manipur,2022,2
manipur,2022,3
manipur,2022,4
manipur,2023,1
manipur,2023,2
manipur,2023,3
manipur,2023,4
meghalaya,2018,1
meghalaya,2018,2
meghalaya,2018,3
meghalaya,2018,4
meghalaya,2019,1
meghalaya,2019,2
meghalaya,2019,3
meghalaya,2019,4
meghalaya,2020,1
meghalaya,2020,2
meghalaya,2020,3
meghalaya,2020,4
meghalaya,2021,1
meghalaya,2021,2
meghalaya,2021,3
meghalaya,2021,4
meghalaya,2022,1
meghalaya,2022,2
meghalaya,2022,3
meghalaya,2022,4
meghalaya,2023,1
meghalaya,2023,2
meghalaya,2023,3
meghalaya,2023,4
mizoram,2018,1
mizoram,2018,2
mizoram,2018,3
mizoram,2018,4
mizoram,2019,1
mizoram,2019,2
mizoram,2019,3
mizoram,2019,4
mizoram,2020,1
mizoram,2020,2
mizoram,2020,3
mizoram,2020,4
mizoram,2021,1
mizoram,2021,2
mizoram,2021,3
mizoram,2021,4
mizoram,2022,1
mizoram,2022,2
mizoram,2022,3
mizoram,2022,4
mizoram,2023,1
mizoram,2023,2
mizoram,2023,3
mizoram,2023,4
nagaland,2018,1
nagaland,2018,2
nagaland,2018,3
nagaland,2018,4
nagaland,2019,1
nagaland,2019,2
nagaland,2019,3
nagaland,2019,4
nagaland,2020,1
nagaland,2020,2
nagaland,2020,3
nagaland,2020,4
nagaland,2021,1
nagaland,2021,2
nagaland,2021,3
nagaland,2021,4
nagaland,2022,1
nagaland,2022,2
nagaland,2022,3
nagaland,2022,4
nagaland,2023,1
nagaland,2023,2
nagaland,2023,3
nagaland,2023,4
odisha,2018,1
odisha,2018,2
odisha,2018,3
odisha,2018,4
odisha,2019,1
odisha,2019,2
odisha,2019,3
odisha,2019,4
odisha,2020,1
odisha,2020,2
odisha,2020,3
odisha,2020,4
odisha,2021,1
odisha,2021,2
odisha,2021,3
odisha,2021,4
odisha,2022,1
odisha,2022,2
odisha,2022,3
odisha,2022,4
odisha,2023,1
odisha,2023,2
odisha,2023,3
odisha,2023,4
puducherry,2018,1
puducherry,2018,2
puducherry,2018,3
puducherry,2018,4
puducherry,2019,1
puducherry,2019,2
puducherry,2019,3
puducherry,2019,4
puducherry,2020,1
puducherry,2020,2
puducherry,2020,3
puducherry,2020,4
puducherry,2021,1
puducherry,2021,2
puducherry,2021,3
puducherry,2021,4
puducherry,2022,1
puducherry,2022,2
puducherry,2022,3
puducherry,2022,4
puducherry,2023,1
puducherry,2023,2
puducherry,2023,3
puducherry,2023,4
punjab,2018,1
punjab,2018,2
punjab,2018,3
punjab,2018,4
punjab,2019,1
punjab,2019,2
punjab,2019,3
punjab,2019,4
punjab,2020,1
punjab,2020,2
punjab,2020,3
punjab,2020,4
punjab,2021,1
punjab,2021,2
punjab,2021,3
punjab,2021,4
punjab,2022,1
punjab,2022,2
punjab,2022,3
punjab,2022,4
punjab,2023,1
punjab,2023,2
punjab,2023,3
punjab,2023,4
rajasthan,2018,1
rajasthan,2018,2
rajasthan,2018,3
rajasthan,2018,4
rajasthan,2019,1
rajasthan,2019,2
rajasthan,2019,3
rajasthan,2019,4
rajasthan,2020,1
rajasthan,2020,2
rajasthan,2020,3
rajasthan,2020,4
rajasthan,2021,1
rajasthan,2021,2
rajasthan,2021,3
rajasthan,2021,4
rajasthan,2022,1
rajasthan,2022,2
rajasthan,2022,3
rajasthan,2022,4
rajasthan,2023,1
rajasthan,2023,2
rajasthan,2023,3
rajasthan,2023,4
sikkim,2018,1
sikkim,2018,2
sikkim,2018,3
sikkim,2018,4
sikkim,2019,1
sikkim,2019,2
sikkim,2019,3
sikkim,2019,4
sikkim,2020,1
sikkim,2020,2
sikkim,2020,3
sikkim,2020,4
sikkim,2021,1
sikkim,2021,2
sikkim,2021,3
sikkim,2021,4
sikkim,2022,1
sikkim,2022,2
sikkim,2022,3
sikkim,2022,4
sikkim,2023,1
sikkim,2023,2
sikkim,2023,3
sikkim,2023,4
tamil-nadu,2018,1
tamil-nadu,2018,2
tamil-nadu,2018,3
tamil-nadu,2018,4
tamil-nadu,2019,1
tamil-nadu,2019,2
tamil-nadu,2019,3
tamil-nadu,2019,4
tamil-nadu,2020,1
tamil-nadu,2020,2
tamil-nadu,2020,3
tamil-nadu,2020,4
tamil-nadu,2021,1
tamil-nadu,2021,2
tamil-nadu,2021,3
tamil-nadu,2021,4
tamil-nadu,2022,1
tamil-nadu,2022,2
tamil-nadu,2022,3
tamil-nadu,2022,4
tamil-nadu,2023,1
tamil-nadu,2023,2
tamil-nadu,2023,3
tamil-nadu,2023,4
telangana,2018,1
telangana,2018,2
telangana,2018,3
telangana,2018,4
telangana,2019,1
telangana,2019,2
telangana,2019,3
telangana,2019,4
telangana,2020,1
telangana,2020,2
telangana,2020,3
telangana,2020,4
telangana,2021,1
telangana,2021,2
telangana,2021,3
telangana,2021,4
telangana,2022,1
telangana,2022,2
telangana,2022,3
telangana,2022,4
telangana,2023,1
telangana,2023,2
telangana,2023,3
telangana,2023,4
tripura,2018,1
tripura,2018,2
tripura,2018,3
tripura,2018,4
tripura,2019,1
tripura,2019,2
tripura,2019,3
tripura,2019,4
tripura,2020,1
tripura,2020,2
tripura,2020,3
tripura,2020,4
tripura,2021,1
tripura,2021,2
tripura,2021,3
tripura,2021,4
tripura,2022,1
tripura,2022,2
tripura,2022,3
tripura,2022,4
tripura,2023,1
tripura,2023,2
tripura,2023,3
tripura,2023,4
uttar-pradesh,2018,1
uttar-pradesh,2018,2
uttar-pradesh,2018,3
uttar-pradesh,2018,4
uttar-pradesh,2019,1
uttar-pradesh,2019,2
uttar-pradesh,2019,3
uttar-pradesh,2019,4
uttar-pradesh,2020,1
uttar-pradesh,2020,2
uttar-pradesh,2020,3
uttar-pradesh,2020,4
uttar-pradesh,2021,1
uttar-pradesh,2021,2
uttar-pradesh,2021,3
uttar-pradesh,2021,4
uttar-pradesh,2022,1
uttar-pradesh,2022,2
uttar-pradesh,2022,3
uttar-pradesh,2022,4
uttar-pradesh,2023,1
uttar-pradesh,2023,2
uttar-pradesh,2023,3
uttar-pradesh,2023,4
uttarakhand,2018,1
uttarakhand,2018,2
uttarakhand,2018,3
uttarakhand,2018,4
uttarakhand,2019,1
uttarakhand,2019,2
uttarakhand,2019,3
uttarakhand,2019,4
uttarakhand,2020,1
uttarakhand,2020,2
uttarakhand,2020,3
uttarakhand,2020,4
uttarakhand,2021,1
uttarakhand,2021,2
uttarakhand,2021,3
uttarakhand,2021,4
uttarakhand,2022,1
uttarakhand,2022,2
uttarakhand,2022,3
uttarakhand,2022,4
uttarakhand,2023,1
uttarakhand,2023,2
uttarakhand,2023,3
uttarakhand,2023,4
west-bengal,2018,1
west-bengal,2018,2
west-bengal,2018,3
west-bengal,2018,4
west-bengal,2019,1
west-bengal,2019,2
west-bengal,2019,3
west-bengal,2019,4
west-bengal,2020,1
west-bengal,2020,2
west-bengal,2020,3
west-bengal,2020,4
west-bengal,2021,1
west-bengal,2021,2
west-bengal,2021,3
west-bengal,2021,4
west-bengal,2022,1
west-bengal,2022,2
west-bengal,2022,3
west-bengal,2022,4
west-bengal,2023,1
west-bengal,2023,2
west-bengal,2023,3
west-bengal,2023,4
